anio,id_diputado,nombre_completo,rank_asistencia,pct_asistencia_ponderada,sesiones_consideradas,pct_cobertura_registro,flag_cobertura,publicar_en_ranking,status_2025,nota_status,fuente_status,no_asiste_total,no_asiste_con_just,no_asiste_sin_just,pct_no_asiste_justificada,missing_no_evaluable,disclaimer_notas,fecha_generacion
2025,1022,Sofía Cid Versalovic,117,94.346,110,100.0,ok,1,,,,19,19,0,100.0,0,Inasistencias justificadas: 19/19 (100.0%).,2026-02-27
2025,1137,Tomás Lagomarsino Guzmán,118,94.322,123,100.0,ok,1,,,,7,2,5,28.57,0,Inasistencias justificadas: 2/7 (28.57%).,2026-02-27
2025,1082,Cristóbal Urruticoechea Ríos,119,94.164,123,100.0,ok,1,,,,7,6,1,85.71,0,Inasistencias justificadas: 6/7 (85.71%).,2026-02-27
2025,1114,Félix Bugueño Sotelo,120,94.164,123,100.0,ok,1,,,,7,6,1,85.71,0,Inasistencias justificadas: 6/7 (85.71%).,2026-02-27
2025,948,Gaspar Rivas Sánchez,121,94.074,105,100.0,ok,1,,,,24,18,6,75.0,0,Inasistencias justificadas: 18/24 (75.0%).,2026-02-27
2025,1172,Stephan Schubert Rubio,122,94.03,117,100.0,ok,1,,,,13,12,1,92.31,0,Inasistencias justificadas: 12/13 (92.31%).,2026-02-27
2025,1147,Helia Molina Milman,123,93.99,116,100.0,ok,1,,,,14,10,4,71.43,0,Inasistencias justificadas: 10/14 (71.43%).,2026-02-27
2025,1037,Diego Ibáñez Cotroneo,124,93.854,117,100.0,ok,1,,,,13,12,1,92.31,0,Inasistencias justificadas: 12/13 (92.31%).,2026-02-27
2025,1153,Coca Ericka Ñanco Vásquez,125,92.745,99,100.0,ok,1,,,,31,28,3,90.32,0,Inasistencias justificadas: 28/31 (90.32%).,2026-02-27
2025,1128,Ana María Gazmuri Vieira,126,92.657,111,100.0,ok,1,,,,20,16,4,80.0,0,Inasistencias justificadas: 16/20 (80.0%).,2026-02-27
2025,1152,Gloria Naveillan Arriagada,127,92.639,108,100.0,ok,1,,,,23,20,3,86.96,0,Inasistencias justificadas: 20/23 (86.96%).,2026-02-27
2025,989,Joaquín Lavín León,128,92.587,123,100.0,ok,1,,,,9,4,5,44.44,0,Inasistencias justificadas: 4/9 (44.44%).,2026-02-27
2025,1098,Yovana Ahumada Palma,129,92.246,120,100.0,ok,1,,,,12,7,5,58.33,0,Inasistencias justificadas: 7/12 (58.33%).,2026-02-27
2025,1030,Camila Flores Oporto,130,91.598,118,100.0,ok,1,,,,15,12,3,80.0,0,Inasistencias justificadas: 12/15 (80.0%).,2026-02-27
2025,1025,Catalina Del Real Mihovilovic,131,91.152,116,100.0,ok,1,,,,17,12,5,70.59,0,Inasistencias justificadas: 12/17 (70.59%).,2026-02-27
2025,1141,Luis Malla Valenzuela,132,91.009,123,100.0,ok,1,,,,11,6,5,54.55,0,Inasistencias justificadas: 6/11 (54.55%).,2026-02-27
2025,976,Juan Antonio Coloma Álamos,133,90.779,122,100.0,ok,1,,,,12,7,5,58.33,0,Inasistencias justificadas: 7/12 (58.33%).,2026-02-27
2025,1109,Gustavo Benavente Vergara,134,90.536,123,100.0,ok,1,,,,11,9,2,81.82,0,Inasistencias justificadas: 9/11 (81.82%).,2026-02-27
2025,1035,Carmen Hertz Cádiz,135,90.376,83,100.0,ok,1,,,,48,46,2,95.83,0,Inasistencias justificadas: 46/48 (95.83%).,2026-02-27
2025,1176,Hotuiti Teao Drago,136,90.302,122,100.0,ok,1,,,,13,12,1,92.31,0,Inasistencias justificadas: 12/13 (92.31%).,2026-02-27
2025,1117,Nathalie Castillo Rojas,137,89.179,104,100.0,ok,1,,,,30,22,8,73.33,0,Inasistencias justificadas: 22/30 (73.33%).,2026-02-27
2025,1124,Tomás De Rementería Venegas,138,89.157,32,100.0,ok,1,Nombrado_senador,Deja Cámara por nombramiento en Senado,Camara.cl,6,3,3,50.0,0,Status 2025: Nombrado_senador — Deja Cámara por nombramiento en Senado | Inasistencias justificadas: 3/6 (50.0%).,2026-02-27
2025,991,Vlado Mirosevic Verdugo,139,88.925,121,100.0,ok,1,,,,15,8,7,53.33,0,Inasistencias justificadas: 8/15 (53.33%).,2026-02-27
2025,1136,Paula Labra Besserer,140,88.368,120,100.0,ok,1,,,,17,15,2,88.24,0,Inasistencias justificadas: 15/17 (88.24%).,2026-02-27
2025,1130,Marta González Olea,141,88.235,86,100.0,ok,1,,,,47,37,10,78.72,0,Inasistencias justificadas: 37/47 (78.72%).,2026-02-27
2025,1135,Johannes Kaiser Barents-Von Hohenhagen,142,88.013,123,100.0,ok,1,,,,15,13,2,86.67,0,Inasistencias justificadas: 13/15 (86.67%).,2026-02-27
2025,1123,Gonzalo De la Carrera Correa,143,88.007,115,100.0,ok,1,,,,21,16,5,76.19,0,Inasistencias justificadas: 16/21 (76.19%).,2026-02-27
2025,1120,María Luisa Cordero Velásquez,144,87.748,108,100.0,ok,1,,,,28,25,3,89.29,0,Inasistencias justificadas: 25/28 (89.29%).,2026-02-27
2025,1036,Tomás Hirsch Goldschmidt,145,87.48,121,100.0,ok,1,,,,17,16,1,94.12,0,Inasistencias justificadas: 16/17 (94.12%).,2026-02-27
2025,1164,Marcela Riquelme Aliaga,146,87.379,120,100.0,ok,1,,,,18,8,10,44.44,0,Inasistencias justificadas: 8/18 (44.44%).,2026-02-27
